GENE	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
aadA1_5_JX185132	2	20	29	4	1	15	1	4	37	2	0	7	1	26	7	0	12	15
aadA2_2_JQ364967	14	57	117	2	12	16	4	60	68	4	3	13	16	14	32	5	29	36
aadA3_1_AF047479	28	93	131	2	11	29	6	42	91	3	8	13	9	22	26	0	21	37
aadA4_1_Z50802	0	4	7	0	0	1	1	2	8	0	0	10	0	2	0	0	6	8
aadA5_1_AF137361	6	36	142	3	9	29	7	12	42	5	29	95	12	103	8	11	31	36
aadA6_1_AF140629	15	237	292	210	156	145	46	83	217	42	171	126	53	213	138	55	1775	119
aadA7_1_AF224733	1	43	4	0	1	15	2	93	19	1	0	8	1	135	0	0	5	12
aadA8_1_AF326210	22	39	81	2	1	11	2	28	53	3	7	8	3	16	9	2	12	25
aadA8b_2_AM040708	8	28	47	1	3	13	5	57	22	5	7	13	5	4	28	3	20	32
aadA9_1_AJ420072	0	3	11	2	5	0	2	5	6	3	3	2	4	1	63	7	3	11
aadA10_1_U37105	1	133	54	28	38	82	12	25	158	14	10	225	4	36	64	63	128	67
aadA11_1_AY144590	10	151	88	33	15	206	26	60	185	49	29	126	18	101	70	30	322	102
aadA12_1_AY665771	3	21	24	0	1	7	0	9	29	2	1	6	3	16	15	2	4	18
aadA13_1_AY713504	2	13	26	1	0	56	2	5	19	2	0	69	62	31	5	4	13	28
aadA14_1_AJ884726	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	4
aadA15_1_DQ393783	5	23	27	3	1	10	1	12	40	0	2	3	2	13	9	4	9	17
aadA16_1_EU675686	3	122	50	57	37	113	92	82	548	15	5	62	8	49	94	61	756	83
aadA17_1_FJ460181	6	53	51	3	4	8	2	18	56	2	1	10	1	20	16	2	10	17
aadA21_1_AY171244	2	3	6	0	1	6	0	4	18	0	0	1	2	5	5	0	1	8
aadA22_1_AM261837	2	11	13	2	0	10	0	3	29	0	1	2	1	18	4	1	5	9
aadA23_1_AJ809407	1	11	6	0	0	9	0	1	17	1	1	6	1	10	2	1	2	1
aadA24_1_AM711129	9	14	6	21	4	6	0	5	27	5	9	2	14	6	0	2	3	14
ant(6)-Ia_2_KF421157	2	1	0	0	2	10	0	0	2	1	0	3	1	1	4	0	0	16
aadD_1_AF181950	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
aadK_1_M26879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ant(3'')-Ii-aac(6')-IId_1_AF453998	26	312	355	38	9	130	17	144	289	34	23	67	15	206	41	31	188	265
ant(4')-Ib_1_AJ506108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ant(4')-IIa_1_M98270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ant(4')-IIb_1_AY114142	0	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
ant(6)-Ia_1_AF330699	0	0	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	6
ant(6)-Ib_1_FN594949	0	0	1	0	0	3	0	1	0	0	0	0	0	2	2	1	2	1
aph(2'')-Ib_1_AF337947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(2'')-Ic_1_U51479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(2'')-Id_1_AF016483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(2'')-Ie_1_AY743255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-Ia_1_V00359	0	13	27	2	0	1	0	4	19	0	0	0	1	22	0	0	0	18
aph(3')-Ib_1_M20305	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3'')-Ic_1_DQ336355	0	2	10	1	17	0	13	21	5	1	2	0	9	0	11	2	9	4
aph(3')-Id_1_Z48231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-IIa_1_X57709	2	3	0	0	1	1	1	3	0	3	1	0	1	2	3	2	0	5
aph(3')-IIb_1_X90856	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
aph(3')-IIc_1_AM743169	780	4	0	0	1	0	0	0	8	1	0	0	0	0	3	0	0	4
aph(3')-III_1_M26832	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	2	4
aph(3')-IV_1_X03364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-Va_1_K00432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-Vb_1_M22126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-Vc_1_S81599	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
aph(3')-VIa_1_X07753	0	25	53	0	0	0	0	6	10	0	0	1	0	64	0	0	0	23
aph(3')-VIb_1_AJ627643	0	6	8	0	0	0	0	0	2	0	0	0	0	5	1	0	2	11
aph(3')-VIIa_1_M29953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-VIII_1_ATGI01000028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-XV_1_Y18050	0	0	1	0	0	0	1	1	1	0	0	0	0	2	0	6	0	2
aph(3'')-Ia_1_X53527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(4)-Ia_1_V01499	0	4	10	0	0	1	0	0	1	0	0	0	0	0	0	0	0	6
aph(6)-Ia_1_AY971801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(6)-Ib_1_X05648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(6)-Ic_1_X01702	0	16	0	1	0	0	0	8	0	0	0	1	0	8	0	3	0	8
aph(9)-Ia_1_U94857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(9)-Ib_1_U70376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rmtB2_1_JN968578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rmtF_1_JQ808129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rmtG_1_JX486113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rmtH_1_KC544262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
armA_1_AY220558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
npmA_1_AB261016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rmtA_1_AB120321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rmtB_1_AB103506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rmtC_1_AB194779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rmtD_1_DQ914960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rmtD2_1_HQ401565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rmtE_1_GU201947	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ant(9)-Ia_1_X02588	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
aac(6')-Ib-cr_1_DQ303918	3	61	71	4	0	13	0	33	45	1	2	3	0	33	8	5	9	57
aac(6')-Ib-cr_2_EF636461	1	15	34	2	1	3	0	11	27	1	1	3	0	12	4	0	3	25
aph(3'')-Ib_2_AF024602	44	270	527	92	19	112	15	134	153	22	19	64	71	136	58	17	53	212
aph(3'')-Ib_5_AF321551	29	196	435	47	16	78	11	156	136	14	12	42	41	109	45	15	52	199
aph(6)-Id_2_AF024602	16	191	391	61	13	69	10	144	132	11	19	49	62	101	53	11	44	159
str_1_X92946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
str_2_FN435330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
str_3_AM932524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-IIIb_2_LLLC01000048	0	0	1	0	1	0	0	0	2	1	4	0	0	0	2	1	0	0
aac(3)-IIa_2_AY138987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
aac(3)-IIa_3_X13543	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
aac(3)-IIa_4_L22613	0	11	2	1	1	0	3	3	1	0	1	20	1	0	0	0	8	16
aac(3)-IIa_5_FJ012882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
aac(3)-IV_1_DQ241380	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
aac(3)-VIa_2_NC_009838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-Ib_2_AJ744860	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ant(9)-Ia_2_M69221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA24_1_DQ677333	2	33	24	5	2	29	0	2	78	3	0	5	0	45	7	4	6	22
aadA8b_1_AY139603	9	44	59	0	3	7	1	15	49	0	1	5	3	24	4	0	12	17
aadA2b_1_D43625	26	59	93	3	8	12	4	24	59	1	5	16	4	17	14	9	14	34
aac(6')-Ii_1_L12710	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1
aac(3)-XI_1_CTEG01000046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-VIII_1_AB211959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-VIII_2_AJ843080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
