clade_name	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	0.73865	6.14577	0.45544	1.46119	11.49268	0.10428	3.85815	3.11483	3.68712	0.89698	0.39884	0.05064	0.84356	0.00029	0.61916	0.10789	0.02956	6.04507
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.5633	0.01455	0.09202	2.40697	0.21292	0.00159	0.00741	0.02233	0.0	5.36719	0.20599	0.04604	17.24492	0.12882	0.1572	0.0	0.8864	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Beutenbergiaceae	0.42703	0.02234	0.00365	0.0	0.0	0.0	0.0	0.00139	0.03493	0.0	0.0	0.0	0.0	0.0	0.01319	0.0	0.0	0.01339
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae	0.28184	0.33042	0.05524	1.25751	1.05349	0.40631	0.29609	1.14674	0.37861	2.51139	0.14193	0.45365	2.30297	1.09383	3.76507	0.24853	0.08316	0.48686
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.26353	0.0261	0.00137	0.43703	0.0146	0.84352	0.00045	0.19913	1.11358	0.16212	0.34321	1.78414	1.27684	0.10819	0.11406	0.0	0.88714	1.11938
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	0.25106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01935	0.0	0.0	0.0	0.00352	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Kaistiaceae	0.23128	0.08489	0.54409	0.00522	0.0	0.10784	0.01485	0.0149	0.07218	0.00165	0.27616	0.04517	0.00636	0.32536	0.0	0.04946	0.0073	0.08395
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	0.20655	0.30503	0.47703	0.79962	0.21515	0.16095	0.43988	0.76258	0.4019	0.08459	0.28719	0.04734	0.22094	0.58452	0.09399	0.76692	0.05891	0.27847
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	0.19597	0.71842	5.15081	0.11471	0.47462	1.81633	1.34702	0.42624	2.61738	0.33097	0.16165	0.73874	0.09487	0.57779	0.06095	0.07169	0.35431	1.7557
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	0.15499	0.30351	0.06067	2.83584	1.79365	0.41586	0.0	0.15442	0.50587	0.01919	1.2814	0.68564	1.28378	0.022	4.62604	0.0	0.18571	2.77324
